Model,training,sub-sample,solver,Rank,BIC,Ntotal,p1,v1,p2,v2
Tuzet,wet,2.0,differential_evolution,5,500.269757,147030.0,g1T,3.13106212,PrefT,-2.9610589
Tuzet,wet,2.0,basinhopping,6,500.391079,4033900.0,g1T,3.12909852,PrefT,-2.96503339
Tuzet,wet,2.0,Nelder-Mead,4,500.193617,26390.0,g1T,3.14464226,PrefT,-2.96185
Tuzet,wet,2.0,Powell,2,499.784611,32190.0,g1T,3.14202659,PrefT,-2.96409211
Tuzet,wet,2.0,COBYLA,7,504.228664,8845.0,g1T,3.15831113,PrefT,-2.99428014
Tuzet,wet,2.0,dual_annealing,1,499.732605,824180.0,g1T,3.14202654,PrefT,-2.95611578
Tuzet,wet,2.0,ampgo,3,500.047801,4380450.0,g1T,3.1420236,PrefT,-2.9716117
WUE-LWP,wet,2.0,differential_evolution,4,913.693689,17690.0,Lambda,8.49667614,,
WUE-LWP,wet,2.0,basinhopping,6,914.130242,43935.0,Lambda,8.54608892,,
WUE-LWP,wet,2.0,Nelder-Mead,3,913.683798,5510.0,Lambda,8.54720954,,
WUE-LWP,wet,2.0,Powell,2,913.563904,13775.0,Lambda,8.39684718,,
WUE-LWP,wet,2.0,COBYLA,5,914.08707,3190.0,Lambda,8.49420282,,
WUE-LWP,wet,2.0,dual_annealing,1,913.482479,294495.0,Lambda,8.46179892,,
WUE-LWP,wet,2.0,ampgo,7,1170.757,764150.0,Lambda,18.317092,,
CAP,wet,3.0,differential_evolution,1,361.043757,265350.0,krlC,0.83097757,PcritC,-7.18910763
CAP,wet,3.0,basinhopping,2,369.600234,4803995.0,krlC,1.66822261,PcritC,-3.63750628
CAP,wet,3.0,Nelder-Mead,4,376.684847,25375.0,krlC,1.86428048,PcritC,-3.19445021
CAP,wet,3.0,Powell,5,377.285512,26970.0,krlC,1.92128316,PcritC,-3.15422651
CAP,wet,3.0,COBYLA,6,396.12537,5075.0,krlC,2.45841443,PcritC,-2.45309322
CAP,wet,3.0,dual_annealing,3,374.122526,751970.0,krlC,1.81302702,PcritC,-3.31176291
CAP,wet,3.0,ampgo,7,2718.5406,3867585.0,krlC,99.9854498,PcritC,-2.9334297
CGainNet,wet,3.0,differential_evolution,6,487.649152,26390.0,beta,7.60950783,,
CGainNet,wet,3.0,basinhopping,3,473.883029,43935.0,beta,7.51604142,,
CGainNet,wet,3.0,Nelder-Mead,5,481.52576,4785.0,beta,6.77132984,,
CGainNet,wet,3.0,Powell,4,480.364984,8120.0,beta,7.49875328,,
CGainNet,wet,3.0,COBYLA,2,469.10542,2030.0,beta,7.72111686,,
CGainNet,wet,3.0,dual_annealing,1,464.835091,292755.0,beta,7.59054075,,
CGainNet,wet,3.0,ampgo,7,674.127828,480240.0,beta,10.7794494,,
CMax,wet,3.0,differential_evolution,4,857.339111,61335.0,Alpha,5.97629167,Beta,0.11828267
CMax,wet,3.0,basinhopping,6,859.201095,58580.0,Alpha,10.3225001,Beta,5.48472462
CMax,wet,3.0,Nelder-Mead,5,857.370652,8410.0,Alpha,9.03993135,Beta,5.1049362
CMax,wet,3.0,Powell,3,857.282824,24650.0,Alpha,9.62026385,Beta,4.90887935
