Model,training,sub-sample,solver,Rank,BIC,Ntotal,p1,v1,p2,v2
Tuzet,wet,3.0,Nelder-Mead,7,759.754655,45924.0,g1T,3.03375663,PrefT,-3.10308646
Tuzet,wet,3.0,dual_annealing,1,745.957553,1029374.0,g1T,3.07623704,PrefT,-2.68490234
Tuzet,inter,0.0,differential_evolution,4,3902.28049,633282.0,g1T,2.7672332,PrefT,-1.86529041
Tuzet,inter,0.0,Nelder-Mead,5,3924.80226,170852.0,g1T,2.66767826,PrefT,-2.226808
Tuzet,inter,0.0,dual_annealing,2,3900.2747,3940892.0,g1T,2.77696071,PrefT,-1.8553848
Tuzet,inter,1.0,differential_evolution,4,849.442645,179895.0,g1T,2.9758752,PrefT,-2.50745437
Tuzet,inter,1.0,Nelder-Mead,1,848.998058,58891.0,g1T,2.98056197,PrefT,-2.5509121
Tuzet,inter,1.0,dual_annealing,2,849.099176,975013.0,g1T,2.97312979,PrefT,-2.53993315
Tuzet,inter,2.0,differential_evolution,1,952.610981,183744.0,g1T,2.73614692,PrefT,-1.83842582
Tuzet,inter,2.0,Nelder-Mead,4,968.985739,57376.0,g1T,2.62325324,PrefT,-2.26059856
Tuzet,inter,2.0,dual_annealing,2,952.635418,944944.0,g1T,2.73382621,PrefT,-1.82193103
Tuzet,inter,3.0,differential_evolution,2,1010.03359,172482.0,g1T,2.81701667,PrefT,-1.79435669
Tuzet,inter,3.0,Nelder-Mead,3,1031.93742,36134.0,g1T,2.614852,PrefT,-2.15372914
Tuzet,inter,3.0,dual_annealing,1,1009.40568,1014956.0,g1T,2.82434357,PrefT,-1.77808602
WUE-LWP,wet,0.0,differential_evolution,2,2584.24736,117902.0,Lambda,1.27181578,,
WUE-LWP,wet,0.0,COBYLA,5,2609.9256,16238.0,Lambda,1.26753451,,
WUE-LWP,wet,0.0,dual_annealing,1,2563.65675,1426826.0,Lambda,1.34025197,,
WUE-LWP,wet,1.0,differential_evolution,3,643.126031,37948.0,Lambda,1.29589048,,
WUE-LWP,wet,1.0,COBYLA,4,650.165088,3759.0,Lambda,1.26537972,,
WUE-LWP,wet,1.0,dual_annealing,2,638.957014,363191.0,Lambda,1.27527434,,
WUE-LWP,wet,2.0,differential_evolution,1,646.576427,42592.0,Lambda,1.30283135,,
WUE-LWP,wet,2.0,COBYLA,3,652.30315,3168.0,Lambda,1.27962516,,
WUE-LWP,wet,2.0,dual_annealing,5,654.916457,355696.0,Lambda,1.34256601,,
WUE-LWP,wet,3.0,differential_evolution,3,649.765883,35066.0,Lambda,1.19590825,,
WUE-LWP,wet,3.0,COBYLA,2,647.989603,3738.0,Lambda,1.29394548,,
WUE-LWP,wet,3.0,dual_annealing,1,643.771743,361518.0,Lambda,1.26481592,,
WUE-LWP,inter,0.0,differential_evolution,4,3877.67433,117902.0,Lambda,1.95016699,,
WUE-LWP,inter,0.0,COBYLA,2,3871.62574,16944.0,Lambda,1.9828289,,
WUE-LWP,inter,0.0,dual_annealing,3,3876.84158,1431062.0,Lambda,1.97321755,,
WUE-LWP,inter,1.0,differential_evolution,5,781.827279,35263.0,Lambda,1.35730562,,
WUE-LWP,inter,1.0,COBYLA,1,766.719515,3759.0,Lambda,1.41890022,,
WUE-LWP,inter,1.0,dual_annealing,2,772.688796,360685.0,Lambda,1.45818231,,
WUE-LWP,inter,2.0,differential_evolution,4,951.700929,32032.0,Lambda,1.98776678,,
WUE-LWP,inter,2.0,COBYLA,3,949.474129,3872.0,Lambda,2.01963225,,
WUE-LWP,inter,2.0,dual_annealing,2,949.087035,357104.0,Lambda,1.94321639,,
WUE-LWP,inter,3.0,differential_evolution,5,999.66388,19046.0,Lambda,1.99009804,,
WUE-LWP,inter,3.0,COBYLA,3,993.304967,3916.0,Lambda,2.11575461,,
WUE-LWP,inter,3.0,dual_annealing,2,992.981986,359382.0,Lambda,2.13955805,,
Medlyn-LWP,inter,0.0,differential_evolution,3,3563.72832,81190.0,sref,1.10476431,,
Medlyn-LWP,inter,0.0,basinhopping,2,3563.72832,7832364.0,sref,1.10476432,,
