Model,training,sub-sample,solver,Rank,BIC,Ntotal,p1,v1,ci1,p2,v2,ci2
Tuzet,wet,2.0,dual_annealing,4,733.43161,1108624.0,g1T,2.98334956,0.01798705,PrefT,-2.68351194,0.05992093
Tuzet,wet,3.0,Nelder-Mead,2,473.998582,42186.0,g1T,3.31222797,0.01034833,PrefT,-2.5134987,0.01464428
Tuzet,wet,3.0,Powell,1,457.794832,106088.0,g1T,3.35425859,0.00907568,PrefT,-2.5540665,0.01416985
Tuzet,wet,3.0,dual_annealing,4,745.957553,1029374.0,g1T,3.07623704,0.02071661,PrefT,-2.68490234,0.05631528
Tuzet,inter,0.0,Nelder-Mead,4,3382.8157,158850.0,g1T,3.02489212,0.01532725,PrefT,-2.3239399,0.0206314
Tuzet,inter,0.0,Powell,5,3383.35988,218154.0,g1T,3.02235441,0.0152712,PrefT,-2.31506082,0.01865753
Tuzet,inter,0.0,dual_annealing,1,3364.77073,4139984.0,g1T,3.05458831,0.01430181,PrefT,-2.23332691,0.01709197
Tuzet,inter,1.0,Nelder-Mead,6,525.903481,33473.0,g1T,3.32890497,0.01102249,PrefT,-2.4327558,0.01605063
Tuzet,inter,1.0,Powell,4,515.505617,50657.0,g1T,3.37573458,0.01052201,PrefT,-2.37327082,0.0098782
Tuzet,inter,1.0,dual_annealing,2,515.301906,827875.0,g1T,3.38257486,0.00873826,PrefT,-2.36084539,0.00972038
Tuzet,inter,2.0,Nelder-Mead,5,808.598332,39248.0,g1T,2.98220734,0.02804877,PrefT,-2.30695864,0.03277504
Tuzet,inter,2.0,Powell,6,809.589908,50864.0,g1T,2.97151371,0.02646843,PrefT,-2.3175982,0.03636096
Tuzet,inter,2.0,dual_annealing,2,805.393458,942304.0,g1T,3.03690027,0.02574666,PrefT,-2.29050378,0.03080999
Tuzet,inter,3.0,Nelder-Mead,3,811.703331,47526.0,g1T,3.11488411,0.02821956,PrefT,-2.33095642,0.03631799
Tuzet,inter,3.0,Powell,7,834.102177,27768.0,g1T,3.02476634,0.02950313,PrefT,-2.45477264,0.04585668
