output,driver,S1,S1_conf,ST,ST_conf,S2,S2_conf
Ci(tuz),VPD,0.23321748267915943,0.0051963678645826775,0.2951277046066768,0.004106835725646629,,
Ci(tuz),CO2,0.4766586529249122,0.006418332130097275,0.5419204448707402,0.005037467629857206,,
Ci(tuz),Ps,0.07682795735744967,0.002803150009926652,0.09624242842016115,0.0014128151695712123,,
Ci(tuz),PPFD-Tair,,,,,0.0019095636664457627,0.001552136299640126
Ci(tuz),PPFD-VPD,,,,,0.0008876283898108239,0.0016645319767844583
Ci(tuz),PPFD-CO2,,,,,0.0016763696532956507,0.001853548861939315
Ci(tuz),PPFD-Ps,,,,,-1.634074472375846e-05,0.0016850195385291256
Ci(tuz),Tair-VPD,,,,,0.020318658363203124,0.0050769402978555825
Ci(tuz),Tair-CO2,,,,,0.014422766066273796,0.0054760927467640535
Ci(tuz),Tair-Ps,,,,,0.0007270502370015364,0.004740256861776168
Ci(tuz),VPD-CO2,,,,,0.029086128467187333,0.008355797731321444
Ci(tuz),VPD-Ps,,,,,0.0019795051127148994,0.007347367690378585
Ci(tuz),CO2-Ps,,,,,0.011812601386227875,0.0078894884717711
Ci(sox1),PPFD,0.0210425316667785,0.0024841597021130197,0.0441543693722627,0.001479099087773566,,
Ci(sox1),Tair,0.20640348357568217,0.004924942547653872,0.2547834891072657,0.0031847566410498906,,
Ci(sox1),VPD,0.24873119023023524,0.005885861643809333,0.2984403234553832,0.003944532556068366,,
Ci(sox1),CO2,0.386909104675619,0.006045232529637697,0.46554894371107103,0.00574680543221344,,
Ci(sox1),Ps,0.03617592820300616,0.0018186234457050721,0.044724289050764865,0.00059532343477945,,
Ci(sox1),PPFD-Tair,,,,,0.011689511861231044,0.0037019645200857287
Ci(sox1),PPFD-VPD,,,,,0.00012300793064093374,0.003769932112477039
Ci(sox1),PPFD-CO2,,,,,0.005395434644791086,0.004364427980674481
Ci(sox1),PPFD-Ps,,,,,-0.0002900545712557698,0.0037094298418832447
Ci(sox1),Tair-VPD,,,,,0.005981441319547115,0.006828817378976275
Ci(sox1),Tair-CO2,,,,,0.02434895790654401,0.007616196836810199
Ci(sox1),Tair-Ps,,,,,0.0008656666013884609,0.006411811710929055
Ci(sox1),VPD-CO2,,,,,0.03921272408176857,0.010437615704606466
Ci(sox1),VPD-Ps,,,,,0.0011602302378341325,0.00794358511080329
Ci(sox1),CO2-Ps,,,,,0.004874644834152321,0.009296059535537428
Ci(sox2),PPFD,0.005309542528298891,0.001058651147282036,0.009411337837161422,0.00042510397463839286,,
Ci(sox2),Tair,0.16283784891153052,0.004547160532918106,0.18939757077138858,0.002646272726501922,,
Ci(sox2),VPD,0.3578434746652832,0.005710954016952684,0.4054476178458446,0.004353986481037655,,
Ci(sox2),CO2,0.3882631043570009,0.005560762042228871,0.4520387411039583,0.006139524229388296,,
Ci(sox2),Ps,0.013771319233501007,0.0013114035208692083,0.017334367510158422,0.00025789291635879886,,
Ci(sox2),PPFD-Tair,,,,,0.0020856820839779133,0.0013842759356831739
Ci(sox2),PPFD-VPD,,,,,-3.202644542160682e-05,0.0015913906939413662
Ci(sox2),PPFD-CO2,,,,,0.0008752058382942018,0.001698939852674475
Ci(sox2),PPFD-Ps,,,,,-0.00013652456118760578,0.001463518569292822
Ci(sox2),Tair-VPD,,,,,0.004441177117012418,0.006473173133162471
Ci(sox2),Tair-CO2,,,,,0.017608272359311006,0.008028672734645524
Ci(sox2),Tair-Ps,,,,,0.00017232078561296021,0.006081983827063524
Ci(sox2),VPD-CO2,,,,,0.04139265825854582,0.011535173750146623
Ci(sox2),VPD-Ps,,,,,0.0005297327981380537,0.008890696368583936
Ci(sox2),CO2-Ps,,,,,0.0019297509803123322,0.00757258187937415
