doy,hod,A(std1),E(std1),gs(std1),gb(std1),Ci(std1),Tleaf(std1),Pleaf(std1),Rublim(std1),Ps(std1)
199.0,10.5,5.604280169734027,0.6246569222649032,0.04115364348765447,1000.0,19.88651414036529,18.998601394216475,-0.6235043888444498,True,-0.0014461651238501525
199.0,11.0,5.549494613159966,0.6383067165649426,0.040117705634873733,1000.0,19.544424241484773,19.75591423476988,-0.6517840812454118,True,-0.0014510480812397848
199.0,11.5,5.485210866029649,0.6480072702126749,0.03913379380764597,1000.0,19.25252569784683,20.40105402161426,-0.651788411622988,True,-0.0014559443604309906
199.0,12.0,5.420112986161188,0.6544591732540086,0.03825889703179751,1000.0,19.01334558785828,20.929040906979168,-0.651792753807176,True,-0.0014608539891437459
199.0,12.5,5.361988111486618,0.6584160210543932,0.03754136832140406,1000.0,18.828922459909304,21.335799736347006,-0.6517971078225276,True,-0.0014657769951377895
199.0,13.0,5.317212873675137,0.6605750470220992,0.03701914374470612,1000.0,18.70080730927857,21.618191464204873,-0.651801473693629,True,-0.001470713406212644
199.0,13.5,5.290356215862841,0.6614784346042292,0.03671851721965592,1000.0,18.630066470830638,21.77403734108502,-0.651805851445102,True,-0.0014756632502076488
199.0,14.0,5.283898588183098,0.6614365613958163,0.03665332150762645,1000.0,18.617284739146736,21.802135694152422,-0.6518102411016036,True,-0.0014806265550019997
199.0,14.5,5.298050374145879,0.6604800411802437,0.03682429773204561,1000.0,18.662567486286772,21.702271178075488,-0.6518146426878259,True,-0.0014856033485147687
199.0,15.0,5.330637485018599,0.6583422203565342,0.03721837003029149,1000.0,18.765541080135954,21.475216428455763,-0.6518190562284966,True,-0.0014905936587049408
199.0,15.5,5.376991565586255,0.6544665148807759,0.037807344389661435,1000.0,18.92535147998381,21.122726107540345,-0.6518234817483785,True,-0.0014955975135714518
199.0,16.0,5.429676151347826,0.6480177772678261,0.03854477522806231,1000.0,19.140661472169647,20.647523393300055,-0.6518279192722698,True,-0.0015006149411532033
199.0,16.5,5.477463018813581,0.6378296867980056,0.03935660907460848,1000.0,19.409647591776057,20.053279033879022,-0.6518323688250043,True,-0.0015056459695291149
199.0,17.0,5.501009082785648,0.6220139992831978,0.040106290035454975,1000.0,19.729998411472934,19.34458319015999,-0.6235617808747277,True,-0.001510690626818134
199.0,17.5,5.449965372080454,0.5956509369688581,0.04041768119339184,1000.0,20.09891719285846,18.526910524779538,-0.595291255840398,True,-0.001515748941179285
199.0,18.0,5.074992479458526,0.5338063000245249,0.038377991814656544,1000.0,20.51314031452865,17.60658014246175,-0.5387457953026429,False,-0.001520820940811693
199.0,18.5,1.9056591833347847,0.19212031888157258,0.014729937149962262,1000.0,20.96910047380316,16.590688889738356,-0.1994507183138813,False,-0.001525906653954611
199.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
199.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
199.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
199.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
199.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
199.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
199.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
199.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
199.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
199.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
199.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
200.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
200.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
200.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
200.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
200.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
200.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
200.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
200.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
200.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001525906653954611
200.0,6.0,2.1798470136567625,0.15153021322893065,0.020717273892399066,1000.0,24.811492933199226,7.807493129510628,-0.1429057434532553,False,-0.0015310061088874608
200.0,6.5,4.321339670585896,0.3196710493096676,0.03960104155653065,1000.0,24.19033981649788,9.262045375667242,-0.31256025885095895,True,-0.001536119333929859
200.0,7.0,4.990591436245701,0.39217341653554655,0.044175633282915426,1000.0,23.57789250068135,10.680822006739612,-0.3973897905021754,True,-0.001541246357441648
200.0,7.5,5.229349847492647,0.43556305592969485,0.0447984076997145,1000.0,22.979934688950998,12.05285944063237,-0.42566943986160977,True,-0.0015463872078229255
200.0,8.0,5.406766029608308,0.4760699848109693,0.04492059015476617,1000.0,22.402210611680953,13.367538128632798,-0.4822238945693967,True,-0.0015515419135140858
200.0,8.5,5.532809709855628,0.5134391535874517,0.04467974277582908,1000.0,21.85029976253326,14.614683523157904,-0.5105034399221475,True,-0.0015567105029958386
200.0,9.0,5.61171677758921,0.546974937348095,0.044149567109558426,1000.0,21.329503745316085,15.784643582648025,-0.5387829459132759,True,-0.0015618930047892501
200.0,9.5,5.648030196707353,0.5760570449789851,0.043394788917696867,1000.0,20.844775209189443,16.868363566521783,-0.5670624123587393,True,-0.0015670894474557654
200.0,10.0,5.647818006143039,0.6003116865120375,0.04248176464164915,1000.0,20.400661194288766,17.857456241596083,-0.5953418390739578,True,-0.001572299859597251
200.0,10.5,5.618692305931295,0.619677133966856,0.04147919868484937,1000.0,20.00126056551697,18.744266901649283,-0.6236212258738116,True,-0.0015775242698560135
