Model,training,solver,Rank,BIC,Ntotal,p1,v1,p2,v2
Tuzet,ManyPeaksRange_Brachychiton_australis,dual_annealing,1,1156.23623,446992.0,g1T,15.0,PrefT,-5.15
WUE-LWP,ManyPeaksRange_Brachychiton_australis,differential_evolution,3,1122.20885,12688.0,Lambda,3.14131134,,
WUE-LWP,ManyPeaksRange_Brachychiton_australis,Powell,2,1121.96826,8320.0,Lambda,3.17516777,,
WUE-LWP,ManyPeaksRange_Brachychiton_australis,dual_annealing,1,1121.76948,209768.0,Lambda,3.30020313,,
CAP,ManyPeaksRange_Cochlospermum_gillivraei,differential_evolution,3,1148.74466,12600.0,krlC,80.0,PcritC,-1.96769725
CAP,ManyPeaksRange_Cochlospermum_gillivraei,Powell,2,1148.73701,7300.0,krlC,47.5532065,PcritC,-2.03806404
CAP,ManyPeaksRange_Cochlospermum_gillivraei,dual_annealing,1,1148.67642,586100.0,krlC,74.587636,PcritC,-2.02443128
CGainNet,ManyPeaksRange_Cochlospermum_gillivraei,differential_evolution,3,1136.48874,4700.0,beta,13.3419429,,
CGainNet,ManyPeaksRange_Cochlospermum_gillivraei,Powell,1,1135.97744,9700.0,beta,7.03744923,,
CGainNet,ManyPeaksRange_Cochlospermum_gillivraei,dual_annealing,2,1136.32616,201500.0,beta,17.2975944,,
CMax,ManyPeaksRange_Cochlospermum_gillivraei,differential_evolution,2,1148.41311,21300.0,Alpha,79.9898873,Beta,0.10320837
CMax,ManyPeaksRange_Cochlospermum_gillivraei,Powell,1,1148.40322,12500.0,Alpha,79.9625726,Beta,0.10807261
CMax,ManyPeaksRange_Cochlospermum_gillivraei,dual_annealing,3,1151.62024,401600.0,Alpha,79.9845436,Beta,0.13261577
LeastCost,ManyPeaksRange_Cochlospermum_gillivraei,differential_evolution,2,1120.7822,42000.0,kmaxLC,10.6138239,BoA,36.0120272
LeastCost,ManyPeaksRange_Cochlospermum_gillivraei,Powell,3,1120.90008,17600.0,kmaxLC,5.66153762,BoA,34.7541222
LeastCost,ManyPeaksRange_Cochlospermum_gillivraei,dual_annealing,1,1120.27523,593600.0,kmaxLC,14.9407204,BoA,38.0588875
Medlyn-LWP,ManyPeaksRange_Cochlospermum_gillivraei,differential_evolution,1,1127.97012,27000.0,sref,0.05,g1,2.17580347
Medlyn-LWP,ManyPeaksRange_Cochlospermum_gillivraei,Powell,3,1127.97013,6400.0,sref,0.05000043,g1,2.17732623
Medlyn-LWP,ManyPeaksRange_Cochlospermum_gillivraei,dual_annealing,1,1127.97012,403700.0,sref,0.05,g1,2.19701139
MES,ManyPeaksRange_Cochlospermum_gillivraei,differential_evolution,2,1148.54897,12600.0,krlM,80.0,PcritM,-2.04998683
MES,ManyPeaksRange_Cochlospermum_gillivraei,Powell,2,1148.54897,5100.0,krlM,79.9999783,PcritM,-2.04999583
MES,ManyPeaksRange_Cochlospermum_gillivraei,dual_annealing,1,1148.54491,539900.0,krlM,12.5915741,PcritM,-2.05
ProfitMax,ManyPeaksRange_Cochlospermum_gillivraei,differential_evolution,3,1132.86724,17800.0,kmax,1.8725794,,
ProfitMax,ManyPeaksRange_Cochlospermum_gillivraei,Powell,2,1132.66472,14700.0,kmax,1.87672307,,
ProfitMax,ManyPeaksRange_Cochlospermum_gillivraei,dual_annealing,1,1132.45038,248300.0,kmax,2.37669456,,
SOX-OPT,ManyPeaksRange_Cochlospermum_gillivraei,differential_evolution,3,1141.17938,18300.0,kmaxS2,0.83989858,ksc_prev,0.81199209
SOX-OPT,ManyPeaksRange_Cochlospermum_gillivraei,Powell,2,1141.14776,7800.0,kmaxS2,0.8207396,ksc_prev,0.81690296
SOX-OPT,ManyPeaksRange_Cochlospermum_gillivraei,dual_annealing,1,1141.1284,407300.0,kmaxS2,0.83541177,ksc_prev,0.78557204
SOX,ManyPeaksRange_Cochlospermum_gillivraei,differential_evolution,2,1129.32541,9800.0,kmaxS1,0.59104143,,
SOX,ManyPeaksRange_Cochlospermum_gillivraei,Powell,2,1129.32541,2900.0,kmaxS1,0.59104141,,
SOX,ManyPeaksRange_Cochlospermum_gillivraei,dual_annealing,2,1129.32541,202900.0,kmaxS1,0.60165875,,
Tuzet,ManyPeaksRange_Cochlospermum_gillivraei,differential_evolution,2,1098.93282,28800.0,g1T,15.0,PrefT,-1.8118874
Tuzet,ManyPeaksRange_Cochlospermum_gillivraei,Powell,2,1098.93282,5200.0,g1T,15.0,PrefT,-1.80417437
Tuzet,ManyPeaksRange_Cochlospermum_gillivraei,dual_annealing,1,1098.93274,442700.0,g1T,14.9938448,PrefT,-1.81136866
WUE-LWP,ManyPeaksRange_Cochlospermum_gillivraei,differential_evolution,3,1142.48465,6200.0,Lambda,47.0820978,,
WUE-LWP,ManyPeaksRange_Cochlospermum_gillivraei,Powell,2,1142.47684,5300.0,Lambda,45.2254439,,
WUE-LWP,ManyPeaksRange_Cochlospermum_gillivraei,dual_annealing,1,1142.40967,201100.0,Lambda,46.4151697,,
CAP,Puechabon_Quercus_ilex,differential_evolution,2,283.697942,9792.0,krlC,80.0,PcritC,-5.9515573
CAP,Puechabon_Quercus_ilex,Powell,3,284.373522,6496.0,krlC,1.2548636,PcritC,-5.19664048
CAP,Puechabon_Quercus_ilex,dual_annealing,1,283.481025,193312.0,krlC,8.28930095,PcritC,-5.57009706
CGainNet,Puechabon_Quercus_ilex,differential_evolution,3,220.650199,3904.0,beta,16.0607131,,
CGainNet,Puechabon_Quercus_ilex,Powell,1,220.032449,1504.0,beta,9.78837459,,
CGainNet,Puechabon_Quercus_ilex,dual_annealing,2,220.086091,64608.0,beta,12.0731534,,
CMax,Puechabon_Quercus_ilex,differential_evolution,2,230.931139,8736.0,Alpha,4.49239771,Beta,7.91568665
CMax,Puechabon_Quercus_ilex,Powell,1,230.729477,6944.0,Alpha,3.13133324,Beta,5.12933729
CMax,Puechabon_Quercus_ilex,dual_annealing,3,230.965135,129376.0,Alpha,4.57117533,Beta,7.92435398
LeastCost,Puechabon_Quercus_ilex,differential_evolution,2,219.626535,31200.0,kmaxLC,0.51459833,BoA,8.89783641
LeastCost,Puechabon_Quercus_ilex,Powell,3,223.747381,3552.0,kmaxLC,0.38109166,BoA,149.102438
LeastCost,Puechabon_Quercus_ilex,dual_annealing,1,219.574644,198304.0,kmaxLC,0.50161414,BoA,9.31418282
Medlyn-LWP,Puechabon_Quercus_ilex,differential_evolution,1,223.251866,15072.0,sref,0.23858369,g1,1.29588042
Medlyn-LWP,Puechabon_Quercus_ilex,Powell,3,223.251889,3584.0,sref,0.23838238,g1,1.29603398
Medlyn-LWP,Puechabon_Quercus_ilex,dual_annealing,2,223.251867,130336.0,sref,0.23858265,g1,1.31144092
MES,Puechabon_Quercus_ilex,differential_evolution,2,281.640778,6816.0,krlM,40.0494815,PcritM,-6.05491947
MES,Puechabon_Quercus_ilex,Powell,3,281.646047,3360.0,krlM,67.7619374,PcritM,-6.05997485
MES,Puechabon_Quercus_ilex,dual_annealing,1,281.640529,239680.0,krlM,40.7209375,PcritM,-6.06
ProfitMax,Puechabon_Quercus_ilex,differential_evolution,1,216.517037,10560.0,kmax,0.62653256,,
ProfitMax,Puechabon_Quercus_ilex,Powell,3,217.789485,1536.0,kmax,0.58558011,,
ProfitMax,Puechabon_Quercus_ilex,dual_annealing,2,216.739134,67872.0,kmax,0.63030704,,
